,id,last_scraped,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
29,447826,2024-09-18,2053557,Hilary,2012-04-02,"Boston, MA",within a few hours,1.0,0.94,t,1,1,t,t,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,75.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,3,40,2024-09-18,407,24,2,2012-06-23,2024-09-11,4.84,4.82,4.72,4.97,4.87,STR-459697,f,0,1,0,2.73
30,496022,2024-09-18,1956464,Maria,2012-03-18,"Boston, MA",,1.0,0.9,f,1,4,t,t,Private room in home,Private room,2,1.2,1 private bath,1.0,1.0,213.0,91,120,91.0,91.0,120.0,120.0,91.0,120.0,t,0,0,2024-09-18,16,0,0,2013-09-15,2016-06-26,4.93,4.81,4.88,4.75,4.94,,f,0,1,0,0.12
31,507525,2024-09-18,2501324,Guy,2012-05-30,"Boston, MA",,1.0,0.9,f,1,1,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,180,180,180.0,180.0,180.0,180.0,180.0,180.0,,0,0,2024-09-18,8,0,0,2012-08-01,2013-07-01,5.0,4.75,4.63,4.5,5.0,,f,1,0,0,0.05
32,530983,2024-09-18,71783,Lance,2010-01-19,"Boston, MA",within an hour,1.0,0.98,f,30,68,t,t,Entire home,Entire home/apt,9,2.0,2 baths,5.0,5.0,270.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,2024-09-18,65,0,0,2012-11-11,2019-10-29,4.4,4.67,4.4,4.8,4.54,,t,14,15,0,0.45
33,533152,2024-09-18,71783,Lance,2010-01-19,"Boston, MA",within an hour,1.0,0.98,f,30,68,t,t,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,2.0,135.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,5,45,2024-09-18,63,2,0,2014-04-14,2024-07-16,4.67,4.84,4.78,4.49,4.46,,t,14,15,0,0.5
34,579605,2024-09-18,71783,Lance,2010-01-19,"Boston, MA",within an hour,1.0,0.98,f,30,68,t,t,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,2.0,145.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,2024-09-18,58,0,0,2012-08-26,2023-08-14,4.43,4.64,4.67,4.66,4.29,,t,14,15,0,0.39
35,583255,2024-09-18,306407,Valery,2010-12-01,"Brookline, MA",,1.0,0.9,f,1,2,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,11,0,0,2012-10-01,2017-07-05,5.0,5.0,5.0,5.0,4.82,,f,1,0,0,0.08
36,601763,2024-09-18,71783,Lance,2010-01-19,"Boston, MA",within an hour,1.0,0.98,f,30,68,t,t,Entire rental unit,Entire home/apt,5,1.0,1 bath,3.0,3.0,135.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,18,78,2024-09-18,43,0,0,2017-04-05,2022-12-31,4.56,4.63,4.67,4.6,4.58,,t,14,15,0,0.47
37,611081,2024-09-18,3029783,Deborah,2012-07-23,,within an hour,1.0,1.0,t,18,21,t,f,Boat,Entire home/apt,6,1.0,1 bath,1.0,4.0,238.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,11,54,2024-09-18,121,33,0,2016-09-15,2024-08-16,4.81,4.84,4.68,4.79,4.84,STR-416892,t,3,0,0,1.24
38,619142,2024-09-18,501427,Joe,2011-04-11,"Boston, MA",within a few hours,1.0,0.94,t,1,2,t,t,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,175.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,2024-09-18,189,10,1,2012-08-08,2024-09-01,4.79,4.79,4.68,4.98,4.86,STR-529113,f,1,0,0,1.28
